,train,val,test
0,normal_001,tumor_012,test_001
1,normal_003,tumor_061,test_002
2,normal_005,normal_017,test_003
3,normal_006,tumor_003,test_004
4,normal_007,normal_066,test_005
5,normal_011,tumor_066,test_006
6,normal_012,tumor_074,test_007
7,normal_013,normal_009,test_008
8,normal_014,tumor_100,test_009
9,normal_016,normal_061,test_010
10,normal_018,normal_092,test_011
11,normal_019,tumor_007,test_012
12,normal_020,normal_132,test_013
13,normal_021,tumor_041,test_014
14,normal_023,normal_071,test_015
15,normal_024,tumor_076,test_016
16,normal_025,normal_138,test_017
17,normal_026,tumor_059,test_018
18,normal_028,tumor_079,test_019
19,normal_029,tumor_085,test_020
20,normal_030,normal_010,test_021
21,normal_031,normal_136,test_022
22,normal_032,tumor_017,test_023
23,normal_035,tumor_053,test_024
24,normal_036,normal_133,test_025
25,normal_038,tumor_042,test_026
26,normal_040,normal_143,test_027
27,normal_041,tumor_056,test_028
28,normal_043,normal_044,test_029
29,normal_046,normal_004,test_030
30,normal_047,normal_140,test_031
31,normal_048,normal_093,test_032
32,normal_049,tumor_032,test_033
33,normal_050,normal_022,test_034
34,normal_052,normal_158,test_035
35,normal_054,normal_137,test_036
36,normal_056,tumor_070,test_037
37,normal_057,normal_037,test_038
38,normal_059,normal_122,test_039
39,normal_060,normal_051,test_040
40,normal_062,normal_151,test_041
41,normal_063,normal_055,test_042
42,normal_064,normal_111,test_043
43,normal_065,tumor_018,test_044
44,normal_068,tumor_002,test_045
45,normal_069,normal_098,test_046
46,normal_070,normal_116,test_047
47,normal_072,tumor_027,test_048
48,normal_073,normal_109,test_050
49,normal_074,normal_102,test_051
50,normal_075,normal_015,test_052
51,normal_076,tumor_050,test_053
52,normal_077,normal_008,test_054
53,normal_078,normal_125,test_055
54,normal_079,normal_112,test_056
55,normal_080,normal_067,test_057
56,normal_081,tumor_028,test_058
57,normal_082,normal_042,test_059
58,normal_083,normal_115,test_060
59,normal_084,tumor_046,test_061
60,normal_085,tumor_039,test_062
61,normal_087,tumor_108,test_063
62,normal_088,normal_090,test_064
63,normal_089,tumor_038,test_065
64,normal_094,normal_033,test_066
65,normal_095,normal_058,test_067
66,normal_096,normal_134,test_068
67,normal_097,tumor_109,test_069
68,normal_099,tumor_081,test_070
69,normal_100,tumor_067,test_071
70,normal_101,normal_002,test_072
71,normal_103,normal_159,test_073
72,normal_104,tumor_091,test_074
73,normal_105,normal_039,test_075
74,normal_106,tumor_064,test_076
75,normal_107,normal_053,test_077
76,normal_108,normal_126,test_078
77,normal_110,normal_034,test_079
78,normal_113,normal_091,test_080
79,normal_114,tumor_090,test_081
80,normal_117,,test_082
81,normal_118,,test_083
82,normal_119,,test_084
83,normal_120,,test_085
84,normal_121,,test_086
85,normal_123,,test_087
86,normal_124,,test_088
87,normal_127,,test_089
88,normal_128,,test_090
89,normal_129,,test_091
90,normal_130,,test_092
91,normal_131,,test_093
92,normal_135,,test_094
93,normal_139,,test_095
94,normal_141,,test_096
95,normal_142,,test_097
96,normal_144,,test_098
97,normal_145,,test_099
98,normal_146,,test_100
99,normal_147,,test_101
100,normal_148,,test_102
101,normal_149,,test_103
102,normal_150,,test_104
103,normal_152,,test_105
104,normal_153,,test_106
105,normal_154,,test_107
106,normal_155,,test_108
107,normal_156,,test_109
108,normal_157,,test_110
109,normal_160,,test_111
110,tumor_001,,test_112
111,tumor_004,,test_113
112,tumor_005,,test_114
113,tumor_006,,test_115
114,tumor_008,,test_116
115,tumor_009,,test_117
116,tumor_010,,test_118
117,tumor_011,,test_119
118,tumor_013,,test_120
119,tumor_014,,test_121
120,tumor_015,,test_122
121,tumor_016,,test_123
122,tumor_019,,test_124
123,tumor_020,,test_125
124,tumor_021,,test_126
125,tumor_022,,test_127
126,tumor_023,,test_128
127,tumor_024,,test_129
128,tumor_025,,test_130
129,tumor_026,,
130,tumor_029,,
131,tumor_030,,
132,tumor_031,,
133,tumor_033,,
134,tumor_034,,
135,tumor_035,,
136,tumor_036,,
137,tumor_037,,
138,tumor_040,,
139,tumor_043,,
140,tumor_044,,
141,tumor_045,,
142,tumor_047,,
143,tumor_048,,
144,tumor_049,,
145,tumor_051,,
146,tumor_052,,
147,tumor_054,,
148,tumor_055,,
149,tumor_057,,
150,tumor_058,,
151,tumor_060,,
152,tumor_062,,
153,tumor_063,,
154,tumor_065,,
155,tumor_068,,
156,tumor_069,,
157,tumor_071,,
158,tumor_072,,
159,tumor_073,,
160,tumor_075,,
161,tumor_077,,
162,tumor_078,,
163,tumor_080,,
164,tumor_082,,
165,tumor_083,,
166,tumor_084,,
167,tumor_086,,
168,tumor_087,,
169,tumor_088,,
170,tumor_089,,
171,tumor_092,,
172,tumor_093,,
173,tumor_094,,
174,tumor_095,,
175,tumor_096,,
176,tumor_097,,
177,tumor_098,,
178,tumor_099,,
179,tumor_101,,
180,tumor_102,,
181,tumor_103,,
182,tumor_104,,
183,tumor_105,,
184,tumor_106,,
185,tumor_107,,
186,tumor_110,,
187,tumor_111,,
